segment_id language source channel segment_type speaker_id gender segment_len dialect mic_type phone_type
xads E 11187 A 10 1901 F 18.35 dial=M handset regular_phone
xadt E 13803 A 10 3150 M 18.33 dial=M headphone cellphone
xadu E 12990 A 30 6935 M 36.47 dial=R handset cellphone
xadv E 16009 A 10 5940 F 10.64 dial=R handset cordless_phone
xadw E 10605 X1 1c 6991 M 320 nontar - -
xadw E 10605 X2 1c 3807 M 320 dial=R - -
xadx A 14412 A 30 3251 M 35.41 dial=A handset cellphone
xady E 11040 B 10 1441 M 27.79 dial=E handset regular_phone
xadz E 11603 A 30 4598 M 111.55 dial=R handset regular_phone
xaea E 14209 B 1s 2451 F 320 dial=A handset regular_phone
xaeb E 14769 B 10 4202 F 17.07 dial=S handset cordless_phone
xaec E 13763 B 30 3140 F 57.67 dial=A headphone cordless_phone
xaed E 10986 A 30 8250 F 44.62 dial=S spkr_phone cellphone
xaee E 14313 X1 1c 4399 M 320 nontar - -
xaee E 14313 X2 1c 8800 F 320 dial=R - -
xaef E 14769 B 1s 4202 F 320 dial=S handset cordless_phone
xaeg E 12879 X1 1c 1641 F 320 nontar - -
xaeg E 12879 X2 1c 8624 F 320 dial=E - -
xaeh E 13620 A 30 1614 F 42.18 dial=M earbud cellphone
xaei E 15838 B 30 5125 M 49.23 dial=M earbud regular_phone
xaej E 10625 X1 1c 3097 M 320 dial=E - -
xaej E 10625 X2 1c 1954 F 320 dial=E - -
xaek E 11397 B 1s 1300 M 320 dial=E handset cellphone
xael E 13876 X1 1c 4330 M 320 dial=M - -
xael E 13876 X2 1c 8472 F 320 nontar - -
xaem E 12033 X1 1c 1814 M 320 nontar - -
xaem E 12033 X2 1c 5910 F 320 dial=S - -
xaen E 12204 B 30 3710 M 44.27 dial=E handset regular_phone
xaeo E 12695 B 1s 3533 M 320 dial=A handset cellphone
xaep R 15528 B 1s 7236 M 320 dial=R handset regular_phone
xaeq E 10642 X1 1c 3077 M 320 dial=E - -
xaeq E 10642 X2 1c 6774 M 320 nontar - -
xaer E 13156 X1 1c 5200 F 320 dial=E - -
xaer E 13156 X2 1c 5071 F 320 nontar - -
xaes E 11646 A 10 3836 M 27.05 dial=S handset cordless_phone
xaet E 11320 B 10 4202 F 14.73 dial=S handset cellphone
xaeu E 12738 A 30 4856 F 33.74 dial=E handset cellphone
xaev E 14209 X1 1c 2981 F 320 nontar - -
xaev E 14209 X2 1c 2451 F 320 dial=A - -
xaew M 12499 B 10 8625 M 26.34 dial=M handset cordless_phone
xaex E 12776 B 30 5910 F 60.42 dial=S handset cellphone
xaey E 12756 B 1s 3372 F 320 dial=S handset regular_phone
xaez E 15838 A 1s 4372 M 320 dial=R handset regular_phone
xafa A 15432 A 1s 5581 M 320 dial=A handset regular_phone
xafb A 14407 B 10 5811 M 10.1 dial=A handset regular_phone
xafc E 11093 B 1s 1300 M 320 dial=E handset regular_phone
xafd A 14067 X1 1c 7293 M 320 dial=A - -
xafd A 14067 X2 1c 1398 F 320 dial=A - -
xafe M 13590 B 1s 5670 M 320 dial=M headphone regular_phone
xaff E 10460 B 30 8577 F 64.7 dial=E handset cellphone
xafg E 10941 A 30 2403 F 34.12 dial=S earbud regular_phone
xafh E 10470 X1 1c 1755 M 320 dial=S - -
xafh E 10470 X2 1c 3449 M 320 dial=A - -
xafi E 11244 X1 1c 4249 F 320 dial=S - -
xafi E 11244 X2 1c 7461 F 320 nontar - -
xafj E 10894 X1 1c 8754 F 320 nontar - -
xafj E 10894 X2 1c 3903 F 320 dial=E - -
xafk M 14912 B 10 3107 F 10.5 dial=M handset regular_phone
xafl E 12849 B 1s 2125 F 320 dial=R handset cellphone
xafm E 10612 X1 1c 7996 F 320 dial=S - -
xafm E 10612 X2 1c 8625 M 320 dial=M - -
xafn E 10665 B 30 3885 M 76.31 dial=E spkr_phone cellphone
xafo A 15048 B 1s 1076 F 320 dial=A handset regular_phone
xafp E 12383 X1 1c 2183 F 320 dial=E - -
xafp E 12383 X2 1c 4518 M 320 nontar - -
xafq E 10561 B 1s 3009 F 320 dial=M unknown unknown
xafr E 11177 A 1s 3097 M 320 dial=E headphone regular_phone
xafs A 13334 A 10 6973 M 10.34 dial=A headphone regular_phone
xaft E 12673 B 30 6162 F 49.5 dial=R handset cellphone
xafu E 10445 X1 1c 5551 M 320 nontar - -
xafu E 10445 X2 1c 6348 F 320 dial=R - -
xafv E 16115 B 1s 5687 M 320 dial=M handset cellphone
xafw M 11463 A 30 8006 F 69.44 dial=M handset regular_phone
xafx R 14013 B 10 7286 F 15.82 dial=R handset cellphone
xafy E 11693 A 1s 1901 F 320 dial=M handset regular_phone
xafz E 16101 X1 1c 7078 M 320 dial=E - -
xafz E 16101 X2 1c 6330 M 320 dial=S - -
xaga A 12813 A 1s 2898 M 320 dial=A spkr_phone cordless_phone
xagb E 12386 B 1s 3906 F 320 dial=S handset regular_phone
xagc E 15609 X1 1c 8798 F 320 nontar - -
xagc E 15609 X2 1c 6175 M 320 dial=M - -
xagd R 14570 A 1s 8815 F 320 dial=R handset cordless_phone
xage E 16098 X1 1c 6330 M 320 dial=S - -
xage E 16098 X2 1c 1841 F 320 dial=R - -
xagf E 12472 X1 1c 4011 F 320 dial=E - -
xagf E 12472 X2 1c 6004 M 320 dial=M - -
xagg R 14577 A 10 7312 F 15.64 dial=R earbud cellphone
xagh M 13468 X1 1c 2983 F 320 dial=M - -
xagh M 13468 X2 1c 4781 F 320 dial=M - -
xagi A 15063 X1 1c 8592 M 320 nontar - -
xagi A 15063 X2 1c 3251 M 320 dial=A - -
xagj E 13051 X1 1c 8577 F 320 dial=E - -
xagj E 13051 X2 1c 1755 M 320 dial=S - -
xagk E 11761 B 10 8836 M 62.88 dial=A handset regular_phone
xagl E 11575 A 10 5148 M 23.8 dial=S spkr_phone regular_phone
xagm E 16254 B 10 8136 F 14.83 dial=R handset cordless_phone
xagn E 12840 B 10 2125 F 16.2 dial=R handset cellphone
xago E 11676 B 30 4598 M 75.64 dial=R handset regular_phone
xagp E 10262 A 30 3432 F 31.32 dial=E handset regular_phone
xagq E 11168 X1 1c 8928 F 320 nontar - -
xagq E 11168 X2 1c 1519 M 320 dial=M - -
xagr E 10657 B 10 6768 F 9.49 dial=E handset cordless_phone
xags A 15033 X1 1c 3251 M 320 dial=A - -
xags A 15033 X2 1c 5203 M 320 dial=A - -
xagt E 10367 B 30 3097 M 47.99 dial=E handset cordless_phone
xagu E 11974 A 1s 6004 M 320 dial=M headphone cordless_phone
xagv E 11039 B 30 3885 M 51.89 dial=E handset cellphone
xagw E 12083 X1 1c 2265 F 320 dial=E - -
xagw E 12083 X2 1c 2971 F 320 dial=S - -
xagx A 15032 A 1s 5203 M 320 dial=A handset cellphone
xagy E 11365 A 10 8094 F 12.07 dial=S handset regular_phone
xagz S 10546 B 30 7414 F 37.52 dial=S handset cellphone
xaha E 15113 A 30 5581 M 51.82 dial=A headphone cellphone
xahb A 11805 B 1s 3449 M 320 dial=A handset regular_phone
xahc E 15572 A 1s 6436 F 320 dial=E handset regular_phone
xahd E 12068 X1 1c 7023 M 320 dial=E - -
xahd E 12068 X2 1c 1111 F 320 nontar - -
xahe E 12625 A 10 3436 F 13.12 dial=S handset regular_phone
xahf R 14555 X1 1c 4460 M 320 dial=R - -
xahf R 14555 X2 1c 4981 F 320 dial=R - -
xahg E 14748 B 10 2814 F 61.8 dial=E handset regular_phone
xahh E 14629 B 10 8815 F 10.64 dial=R handset regular_phone
xahi E 14287 X1 1c 8072 F 320 nontar - -
xahi E 14287 X2 1c 8577 F 320 dial=E - -
xahj E 11148 B 1s 6319 M 320 dial=M spkr_phone regular_phone
xahk E 15245 B 1s 2450 M 320 dial=S headphone cordless_phone
xahl E 10737 A 1s 8250 F 320 dial=S handset regular_phone
xahm M 13423 B 30 4781 F 93.91 dial=M handset regular_phone
xahn E 10618 B 10 6363 F 16.2 dial=E handset cellphone
xaho E 12177 X1 1c 7505 F 320 nontar - -
xaho E 12177 X2 1c 7023 M 320 dial=E - -
xahp R 12641 B 30 5586 F 36.41 dial=R headphone cordless_phone
xahq E 11998 A 1s 1300 M 320 dial=E handset regular_phone
xahr E 11627 A 1s 3959 F 320 dial=R headphone cellphone
xahs E 15705 B 30 4330 M 70.07 dial=M headphone regular_phone
xaht E 12265 A 30 1577 M 63.15 dial=A headphone cellphone
xahu E 12662 B 1s 8125 M 320 dial=E handset cellphone
xahv E 12136 B 30 5913 F 44.21 dial=S headphone cellphone
xahw E 14657 B 30 2504 M 111.55 dial=A headphone regular_phone
xahx E 11683 X1 1c 1755 M 320 dial=S - -
xahx E 11683 X2 1c 2647 F 320 dial=E - -
xahy E 15946 B 10 6747 F 9.4 dial=A spkr_phone cellphone
xahz E 11153 X1 1c 3304 F 320 dial=E - -
xahz E 11153 X2 1c 1410 F 320 dial=S - -
xaia E 12130 B 1s 7286 F 320 dial=R handset cellphone
xaib S 12868 B 1s 4694 F 320 dial=S handset cellphone
xaic A 13946 X1 1c 7293 M 320 dial=A - -
xaic A 13946 X2 1c 2906 M 320 nontar - -
xaid E 13531 B 30 8149 F 58.14 dial=R handset cordless_phone
xaie E 10723 X1 1c 8962 F 320 dial=M - -
xaie E 10723 X2 1c 3432 F 320 dial=E - -
xaif E 16184 X1 1c 7884 F 320 dial=E - -
xaif E 16184 X2 1c 4372 M 320 dial=R - -
xaig M 10609 B 30 8625 M 46.77 dial=M handset cellphone
xaih E 12911 B 10 1577 M 12.33 dial=A headphone regular_phone
xaii R 14570 A 30 8815 F 90.81 dial=R handset cordless_phone
xaij E 12623 X1 1c 8250 F 320 dial=S - -
xaij E 12623 X2 1c 1901 F 320 dial=M - -
xaik E 14715 X1 1c 6511 M 320 nontar - -
xaik E 14715 X2 1c 8817 F 320 dial=M - -
xail E 11018 A 10 2308 M 10.32 dial=M headphone regular_phone
xaim A 14455 X1 1c 8284 F 320 nontar - -
xaim A 14455 X2 1c 5811 M 320 dial=A - -
xain A 15568 X1 1c 6652 F 320 dial=A - -
xain A 15568 X2 1c 6809 F 320 nontar - -
xaio E 10979 A 30 6367 F 56.64 dial=S handset cellphone
xaip E 12129 B 30 1901 F 63.12 dial=M handset regular_phone
xaiq E 15245 X1 1c 4322 F 320 dial=E - -
xaiq E 15245 X2 1c 2450 M 320 dial=S - -
xair R 12415 B 10 6231 M 35.9 dial=R headphone cordless_phone
xais R 15510 B 1s 7312 F 320 dial=R earbud cellphone
xait E 11619 A 10 4506 M 45.51 dial=E handset regular_phone
xaiu E 14208 A 1s 2086 M 320 dial=S handset regular_phone
xaiv M 13170 B 1s 7813 M 320 dial=M spkr_phone regular_phone
xaiw E 10448 A 30 5471 M 34.31 dial=E handset cellphone
xaix E 11292 X1 1c 8342 F 320 dial=M - -
xaix E 11292 X2 1c 6769 M 320 nontar - -
xaiy E 11847 X1 1c 5515 M 320 nontar - -
xaiy E 11847 X2 1c 7513 M 320 dial=M - -
xaiz S 12572 X1 1c 3689 F 320 dial=S - -
xaiz S 12572 X2 1c 4762 M 320 dial=S - -
xaja E 11417 X1 1c 7288 F 320 dial=R - -
xaja E 11417 X2 1c 6380 M 320 dial=M - -
xajb E 10280 B 10 4338 F 31.42 dial=S handset regular_phone
xajc E 14322 A 30 2606 M 51.55 dial=R headphone regular_phone
xajd A 15253 A 10 5330 M 22.77 dial=A handset regular_phone
xaje M 12422 B 10 4781 F 9.31 dial=M handset regular_phone
xajf E 15319 B 10 6132 F 14.95 dial=S handset regular_phone
xajg R 12415 B 30 6231 M 83.56 dial=R headphone cordless_phone
xajh E 15276 A 30 6375 F 27.23 dial=A handset cordless_phone
xaji E 12279 X1 1c 2397 M 320 dial=M - -
xaji E 12279 X2 1c 3157 F 320 nontar - -
xajj E 13561 B 30 3150 M 38 dial=M headphone cellphone
xajk E 14605 X1 1c 4322 F 320 dial=E - -
xajk E 14605 X2 1c 3251 M 320 dial=A - -
xajl E 12785 B 10 3372 F 11.34 dial=S handset regular_phone
xajm E 12739 A 10 8134 M 21.32 dial=E handset cordless_phone
xajn E 12598 X1 1c 4856 F 320 dial=E - -
xajn E 12598 X2 1c 4762 M 320 dial=S - -
xajo E 14406 B 30 7191 M 73.46 dial=A headphone cellphone
xajp E 11062 A 1s 7521 F 320 dial=E handset regular_phone
xajq E 10448 A 10 5471 M 11.01 dial=E handset cellphone
xajr E 13624 X1 1c 8484 M 320 dial=S - -
xajr E 13624 X2 1c 6163 F 320 dial=R - -
xajs R 14522 B 10 4981 F 41.14 dial=R handset regular_phone
xajt E 12986 B 1s 2414 F 320 dial=S handset cellphone
xaju E 10749 B 10 4680 F 11.43 dial=E headphone regular_phone
xajv E 12617 X1 1c 3372 F 320 dial=S - -
xajv E 12617 X2 1c 6768 F 320 dial=E - -
xajw E 10814 X1 1c 4049 M 320 nontar - -
xajw E 10814 X2 1c 7078 M 320 dial=E - -
xajx R 14561 B 1s 4460 M 320 dial=R handset regular_phone
xajy E 15106 B 30 5203 M 42.67 dial=A handset cellphone
xajz E 12069 X1 1c 4508 F 320 nontar - -
xajz E 12069 X2 1c 8194 M 320 dial=S - -
xaka A 13346 A 30 2898 M 71.87 dial=A headphone cellphone
xakb A 15639 A 30 5581 M 62.36 dial=A handset cellphone
xakc E 15264 X1 1c 6652 F 320 dial=A - -
xakc E 15264 X2 1c 3926 M 320 dial=E - -
xakd E 14118 B 30 8640 M 35.69 dial=S handset regular_phone
xake E 16576 A 10 3077 M 12.23 dial=E handset cellphone
xakf E 16426 B 1s 8075 F 320 dial=A handset cordless_phone
xakg M 13895 X1 1c 1088 F 320 nontar - -
xakg M 13895 X2 1c 6206 M 320 dial=M - -
xakh E 14599 B 1s 3251 M 320 dial=A handset cellphone
xaki E 12810 A 30 7293 M 41.83 dial=A earbud cordless_phone
xakj E 15644 B 10 7023 M 26.63 dial=E handset regular_phone
xakk A 15052 X1 1c 5203 M 320 dial=A - -
xakk A 15052 X2 1c 1076 F 320 dial=A - -
xakl E 11150 X1 1c 6621 F 320 nontar - -
xakl E 11150 X2 1c 1785 F 320 dial=E - -
xakm E 12514 B 1s 8484 M 320 dial=S handset cellphone
xakn A 13334 A 1s 6973 M 320 dial=A headphone regular_phone
xako E 15838 X1 1c 4372 M 320 dial=R - -
xako E 15838 X2 1c 5125 M 320 dial=M - -
xakp E 11951 A 1s 4506 M 320 dial=E handset regular_phone
xakq E 10566 X1 1c 5263 M 320 nontar - -
xakq E 10566 X2 1c 3922 F 320 dial=E - -
xakr E 11766 A 30 7863 F 32.24 dial=M spkr_phone cordless_phone
xaks E 10665 B 1s 3885 M 320 dial=E spkr_phone cellphone
xakt A 13346 A 1s 2898 M 320 dial=A headphone cellphone
xaku E 11286 X1 1c 1268 F 320 dial=E - -
xaku E 11286 X2 1c 8625 M 320 dial=M - -
xakv E 11025 A 10 3550 F 36.4 dial=E handset regular_phone
xakw E 12193 A 30 8854 M 66.66 dial=A handset cellphone
xakx E 15226 A 1s 8817 F 320 dial=M handset regular_phone
xaky E 15613 X1 1c 6175 M 320 dial=M - -
xaky E 15613 X2 1c 7903 F 320 dial=R - -
xakz E 16576 A 30 3077 M 62.7 dial=E handset cellphone
xala S 12001 B 1s 4685 F 320 dial=R earbud cordless_phone
xalb E 15946 B 30 6747 F 31.38 dial=A spkr_phone cellphone
xalc E 12756 B 10 3372 F 18.89 dial=S handset regular_phone
xald A 15075 X1 1c 4824 M 320 dial=A - -
xald A 15075 X2 1c 6968 F 320 dial=A - -
xale E 10827 B 10 7078 M 11.26 dial=E handset regular_phone
xalf A 14397 B 30 8478 M 65.04 dial=A handset cordless_phone
xalg E 10695 A 1s 7996 F 320 dial=S spkr_phone cellphone
xalh M 13918 X1 1c 1148 F 320 dial=M - -
xalh M 13918 X2 1c 5014 F 320 nontar - -
xali M 13478 A 1s 6206 M 320 dial=M handset cellphone
xalj E 13565 B 10 7172 F 12.9 dial=M headphone regular_phone
xalk A 15087 B 30 1076 F 59.32 dial=A handset cellphone
xall E 12511 A 10 1645 F 14.63 dial=S handset cellphone
xalm E 11609 B 10 4598 M 25.39 dial=R handset regular_phone
xaln M 11463 A 1s 8006 F 320 dial=M handset regular_phone
xalo E 11521 A 1s 1954 F 320 dial=E handset cellphone
xalp E 14906 X1 1c 3530 M 320 nontar - -
xalp E 14906 X2 1c 5687 M 320 dial=M - -
xalq E 14732 A 30 2451 F 44.22 dial=A handset regular_phone
xalr E 11266 B 30 6436 F 59.04 dial=E handset cellphone
xals E 11352 X1 1c 4506 M 320 dial=E - -
xals E 11352 X2 1c 1832 F 320 dial=M - -
xalt R 15480 B 30 7236 M 72.26 dial=R handset regular_phone
xalu E 11357 B 30 8929 M 53.34 dial=E handset regular_phone
xalv M 13590 B 10 5670 M 19.03 dial=M headphone regular_phone
xalw E 12697 B 1s 6163 F 320 dial=R handset regular_phone
xalx E 11839 B 30 3807 M 121.51 dial=R handset cellphone
xaly M 11783 B 30 3074 M 46.19 dial=M handset regular_phone
xalz E 12078 B 10 3372 F 26.75 dial=S handset regular_phone
xama E 12709 B 10 1645 F 19.4 dial=S handset regular_phone
xamb E 10866 X1 1c 1239 M 320 dial=E - -
xamb E 10866 X2 1c 6557 F 320 dial=M - -
xamc A 13289 A 1s 6973 M 320 dial=A earbud regular_phone
xamd S 10546 A 30 1668 F 46.65 dial=S handset cellphone
xame E 15705 X1 1c 1019 M 320 nontar - -
xame E 15705 X2 1c 4330 M 320 dial=M - -
xamf E 10752 X1 1c 3550 F 320 dial=E - -
xamf E 10752 X2 1c 1422 F 320 dial=S - -
xamg A 15944 B 10 6747 F 12.04 dial=A spkr_phone cellphone
xamh E 13063 B 30 7899 F 168.81 dial=S handset cordless_phone
xami E 12136 B 1s 5913 F 320 dial=S headphone cellphone
xamj R 16356 B 10 8136 F 16.38 dial=R handset cellphone
xamk E 10969 B 10 5236 M 21.65 dial=S handset cellphone
xaml E 10665 X1 1c 6530 F 320 nontar - -
xaml E 10665 X2 1c 3885 M 320 dial=E - -
xamm E 11628 B 10 4566 M 8.79 dial=S unknown unknown
xamn A 15076 B 30 6968 F 31.76 dial=A earbud cellphone
xamo E 11059 X1 1c 5867 F 320 dial=E - -
xamo E 11059 X2 1c 1148 F 320 dial=M - -
xamp E 16127 B 30 6968 F 53.81 dial=A earbud cellphone
xamq E 11937 X1 1c 6171 F 320 dial=E - -
xamq E 11937 X2 1c 1289 F 320 dial=S - -
xamr M 13911 A 1s 6004 M 320 dial=M headphone regular_phone
xams E 12660 X1 1c 3414 F 320 nontar - -
xams E 12660 X2 1c 8478 M 320 dial=A - -
xamt S 13216 X1 1c 3958 F 320 nontar - -
xamt S 13216 X2 1c 3783 F 320 dial=S - -
xamu E 12638 A 10 5867 F 11.05 dial=E handset regular_phone
xamv E 13213 B 30 4512 F 75.81 dial=E handset regular_phone
xamw E 15801 B 1s 6175 M 320 dial=M headphone regular_phone
xamx E 11062 X1 1c 7521 F 320 dial=E - -
xamx E 11062 X2 1c 8902 F 320 nontar - -
xamy S 12017 B 10 3680 M 26.54 dial=S handset cordless_phone
xamz E 12593 B 10 7293 M 15.03 dial=A handset cordless_phone
xana E 11852 B 30 1526 F 39.59 dial=R handset cellphone
xanb S 12718 X1 1c 3783 F 320 dial=S - -
xanb S 12718 X2 1c 4694 F 320 dial=S - -
xanc E 11384 B 10 7593 M 19.23 dial=M handset regular_phone
xand E 12322 B 10 7293 M 30.92 dial=A handset cordless_phone
xane E 13135 B 30 6004 M 95.49 dial=M headphone regular_phone
xanf M 11934 X1 1c 7098 M 320 dial=M - -
xanf M 11934 X2 1c 4783 M 320 nontar - -
xang E 12662 X1 1c 1014 F 320 dial=M - -
xang E 12662 X2 1c 8125 M 320 dial=E - -
xanh E 11776 B 10 5608 F 49.65 dial=E handset cellphone
xani S 13653 X1 1c 2262 F 320 dial=S - -
xani S 13653 X2 1c 5038 F 320 dial=S - -
xanj E 11858 B 1s 3370 F 320 dial=R handset cellphone
xank E 10845 X1 1c 8483 M 320 dial=S - -
xank E 10845 X2 1c 3097 M 320 dial=E - -
xanl E 11733 B 10 7521 F 51.87 dial=E handset cordless_phone
xanm A 15015 A 10 5581 M 21.68 dial=A spkr_phone cellphone
xann E 11467 X1 1c 8929 M 320 dial=E - -
xann E 11467 X2 1c 8006 F 320 dial=M - -
xano E 10625 B 1s 1954 F 320 dial=E handset regular_phone
xanp R 15497 B 1s 3430 M 320 dial=R handset regular_phone
xanq E 12649 X1 1c 4666 F 320 nontar - -
xanq E 12649 X2 1c 5747 F 320 dial=S - -
